			Precision	Recall	F1	IoU
Image 308:	0.4028	0.0017	0.0034	0.0017
Image 309:	0.0000	0.0000	0.0000	0.0000
Image 310:	0.0000	0.0000	0.0000	0.0000
Image 311:	0.0000	0.0000	0.0000	0.0000
Image 312:	0.1930	0.0006	0.0013	0.0006
Image 313:	0.1250	0.0012	0.0024	0.0012
Image 314:	0.0000	0.0000	0.0000	0.0000
Image 315:	0.0000	0.0000	0.0000	0.0000
Image 316:	0.0000	0.0000	0.0000	0.0000
Image 317:	0.0000	0.0000	0.0000	0.0000
Image 318:	0.0000	0.0000	0.0000	0.0000
Image 319:	0.2647	0.0013	0.0026	0.0013
Image 320:	0.0860	0.0009	0.0019	0.0009
Image 321:	0.0179	0.0001	0.0001	0.0001
Image 322:	0.0351	0.0001	0.0003	0.0001
Image 323:	0.0000	0.0000	0.0000	0.0000
Image 324:	0.1875	0.0014	0.0028	0.0014
Image 325:	0.2966	0.0036	0.0071	0.0036
Image 326:	0.0667	0.0005	0.0010	0.0005
Image 327:	0.4783	0.0076	0.0149	0.0075
Image 328:	0.1667	0.0004	0.0008	0.0004
Image 329:	0.1463	0.0006	0.0011	0.0006
Image 330:	0.8571	0.0011	0.0022	0.0011
Image 331:	0.5000	0.0009	0.0019	0.0009
Image 332:	0.1765	0.0007	0.0015	0.0007
Image 333:	0.0000	0.0000	0.0000	0.0000
Image 334:	0.0606	0.0005	0.0010	0.0005
Image 335:	0.0000	0.0000	0.0000	0.0000
Image 336:	0.3333	0.0003	0.0005	0.0003
Image 337:	0.0000	0.0000	0.0000	0.0000
Image 338:	0.5833	0.0003	0.0006	0.0003
Image 339:	0.0000	0.0000	0.0000	0.0000
Image 340:	0.2500	0.0006	0.0012	0.0006
Image 341:	0.1282	0.0002	0.0004	0.0002
Image 342:	0.0000	0.0000	0.0000	0.0000
Image 343:	0.7170	0.0021	0.0042	0.0021
Image 344:	0.0444	0.0001	0.0002	0.0001
Image 345:	0.1667	0.0002	0.0004	0.0002
Image 346:	0.0000	0.0000	0.0000	0.0000
Image 347:	0.0000	0.0000	0.0000	0.0000
Image 348:	0.0385	0.0003	0.0006	0.0003
Image 349:	0.0000	0.0000	0.0000	0.0000
Image 350:	0.3000	0.0010	0.0020	0.0010
Image 351:	0.7167	0.0016	0.0031	0.0015
Image 352:	0.0702	0.0002	0.0003	0.0002
Image 353:	0.8857	0.0037	0.0074	0.0037
Image 354:	0.8542	0.0015	0.0030	0.0015
Image 355:	0.0000	0.0000	0.0000	0.0000
Image 356:	0.3333	0.0005	0.0010	0.0005
Image 357:	0.0000	0.0000	0.0000	0.0000
Image 358:	0.3333	0.0000	0.0001	0.0000
Image 359:	0.0000	0.0000	0.0000	0.0000
Image 360:	0.6119	0.0025	0.0051	0.0025
Image 361:	0.0842	0.0030	0.0057	0.0029
Image 362:	0.2222	0.0002	0.0004	0.0002
Image 363:	0.0000	0.0000	0.0000	0.0000
Image 364:	0.3929	0.0006	0.0013	0.0006
Image 365:	0.2069	0.0093	0.0179	0.0090
Image 366:	0.1250	0.0007	0.0015	0.0007
Image 367:	0.0000	0.0000	0.0000	0.0000
Image 368:	0.1212	0.0003	0.0005	0.0003
Image 369:	0.1000	0.0002	0.0005	0.0002
Image 370:	0.0426	0.0002	0.0005	0.0002
Image 371:	0.5135	0.0022	0.0043	0.0022
Image 372:	0.6066	0.0033	0.0066	0.0033
Image 373:	0.0526	0.0001	0.0001	0.0001
Image 374:	0.0000	0.0000	0.0000	0.0000
Image 375:	0.1277	0.0007	0.0014	0.0007
Image 376:	0.2424	0.0033	0.0065	0.0032
Image 377:	0.3333	0.0006	0.0012	0.0006
Image 378:	0.4688	0.0011	0.0022	0.0011
Image 379:	0.0345	0.0002	0.0005	0.0002
Image 380:	0.5714	0.0027	0.0053	0.0027
Image 381:	0.1750	0.0017	0.0033	0.0017
Image 382:	0.0435	0.0001	0.0003	0.0001
Image 383:	0.0000	0.0000	0.0000	0.0000
Image 384:	0.1111	0.0010	0.0020	0.0010
Image 385:	0.0500	0.0011	0.0022	0.0011
Image 386:	0.0864	0.0011	0.0022	0.0011
Image 387:	0.1099	0.0009	0.0018	0.0009
Image 388:	0.1004	0.0022	0.0043	0.0021
Image 389:	0.0000	0.0000	0.0000	0.0000
Image 390:	0.0000	0.0000	0.0000	0.0000
Image 391:	0.0971	0.0012	0.0023	0.0012
Image 392:	0.0874	0.0009	0.0018	0.0009
Image 393:	0.0946	0.0016	0.0032	0.0016
Image 394:	0.1761	0.0013	0.0025	0.0013
Image 395:	0.0534	0.0013	0.0025	0.0012
Image 396:	0.0085	0.0008	0.0015	0.0008
Image 397:	0.0131	0.0010	0.0019	0.0009
Image 398:	0.1798	0.0118	0.0221	0.0112
Image 399:	0.0429	0.0006	0.0011	0.0006
Image 400:	0.0600	0.0006	0.0011	0.0006
Image 401:	0.0406	0.0007	0.0014	0.0007
Image 402:	0.1293	0.0019	0.0038	0.0019
Image 403:	0.0986	0.0034	0.0066	0.0033
Image 404:	0.0430	0.0026	0.0049	0.0025
Image 405:	0.0720	0.0021	0.0040	0.0020
Image 406:	0.0153	0.0006	0.0011	0.0005
Image 407:	0.0631	0.0022	0.0042	0.0021
Image 408:	0.0729	0.0020	0.0040	0.0020
Image 409:	0.0574	0.0020	0.0038	0.0019
Image 410:	0.1257	0.0033	0.0065	0.0033
Image 411:	0.0394	0.0005	0.0010	0.0005
Image 412:	0.0464	0.0007	0.0014	0.0007
Image 413:	0.0095	0.0001	0.0001	0.0001
Image 414:	0.1629	0.0045	0.0087	0.0044
Image 415:	0.0078	0.0002	0.0003	0.0002
Image 416:	0.1567	0.0037	0.0071	0.0036
Image 417:	0.1230	0.0018	0.0035	0.0017
Image 418:	0.1638	0.0225	0.0396	0.0202
Image 419:	0.1479	0.0026	0.0051	0.0025
Image 420:	0.0179	0.0002	0.0004	0.0002
Image 421:	0.0242	0.0009	0.0016	0.0008
Image 422:	0.1215	0.0010	0.0020	0.0010
Image 423:	0.0062	0.0002	0.0004	0.0002
Image 424:	0.1403	0.0011	0.0022	0.0011
Image 425:	0.1824	0.0031	0.0061	0.0031
